ID,Tên công việc,Mô tả,Loại công việc,Loại lương
1,Lập trình web bán hàng,Cần lập trình viên có ít nhất 2 năm kinh nghiệp với các công nghệ có liên quan,1,2
2,Thiết kế giao diện website,Cần người có kinh nghiệm về Frontend,2,1
1002,Lập trình web bán hàng,Cần có kỹ năng,1,2
2002,Dự án demo,Mô tả dự án,1,2
3010,Lập bảng tính (chứa công thức) số liệu trong excel,Tôi cần lập 1 trang tính Excel chứa công thức tính toán các số liệu nhập vào để ra 1 kết quả cụ thể,1,2
3012,Thiết kế App quản lý bảo trì,"Thiết kế APP sử dụng cho công ty cần có các chức năng chính như sau:
1) Quản lý tài sản.
2) Quản lý công việc.
3) Quản lý kế hoạch bảo trì.
4) Báo cáo, ghi nhận các thông tin tiến độ sau bảo trì.
5) Xuất được dữ liệu.
6) Bảo trì, chỉnh sửa app theo yêu cầu.
7) Sử dụng 2 ngôn ngữ Việt, Anh",1,2
3013,Seeding trên mạng xã hội,"- Seeding trên trang mạng xã hội theo yêu cầu của nhà tuyển dụng
- Đã có mẫu, chỉ cần follow theo là có thể làm được",2,1
3014,"Chuyên viên Email, Zalo Marketing & Digital Marketing","- Quản lý lịch email, zalo gửi số lượng và chủ đề, xác định nhịp dựa trên kiểm tra hiệu suất, các phương pháp hay nhất và xu hướng của ngành.
- Quản lí và thiết lập phễu email marketing, zalo marketing trên hệ thống.
- Quản lý quy trình email, zalo marketing một cách hiệu quả, quản lý các chương trình đạt đến chỉ số nhất định về tỉ lệ mở, tỉ lệ xem … góp phần gia tăng tỉ lệ mua hàng, tỉ lệ chuyển đổi.
- Kiểm tra các mẫu email, zalo và cấu trúc nhắn tin để xác định phương pháp tiếp cận sáng tạo tối ưu. Tạo nội dung email cho người dùng cũ.
- Xác định và phân tích cơ sở dữ liệu, hành vi / kỳ vọng của khách hàng để tăng cường cơ hội kinh doanh.
- Lập kế hoạch truyền thông xã hội để phát triển các chiến dịch tiếp",2,1
3015,FREELANCER FACEBOOK ADS,"1. Mô Tả công việc:
- Thiết lập, triển khai và quản lý các chiến dịch Quảng cáo trên Facebook để thúc đẩy nhận diện thương hiệu, mức độ tương tác và chuyển đổi.
- Theo dõi và phân tích hiệu suất chiến dịch, cung cấp báo cáo chi tiết và thông tin chuyên sâu để tối ưu hóa và cải thiện kết quả.
- Phân bổ và quản lý ngân sách quảng cáo hiệu quả để đảm bảo ROI tốt nhất cho mỗi chiến dịch.
- Làm việc chặt chẽ với nhóm sáng tạo để phát triển các quảng cáo hấp dẫn và nội dung thu hút được đối tượng mục tiêu
- Sử dụng các công cụ và nền tảng phân tích để theo dõi số liệu hiệu suất và đưa ra quyết định dựa trên dữ liệu
- Luôn nắm bắt các xu hướng mới nhất, c&",2,1
3016,Thiết kế Logo cho Công ty xuất khẩu trái cây,"Thiết kế Logo cho Công ty xuất khẩu trái cây
---
Màu sắc: Sử dụng các màu sắc nhẹ nhàng và tự nhiên như xanh lá cây, vàng, cam, đỏ, thể hiện sự tươi mát, sức khỏe và sự tự nhiên.
Biểu tượng: Kết hợp với các biểu tượng thể hiện sự sống khỏe mạnh, tự nhiên, 2 bàn tay nâng niu trái cây.
Phông chữ: Chọn phông chữ rõ ràng, hiện đại, và dễ đọc, cùng với một chút sự mềm mại để tạo cảm giác thân thiện và gần gũi.
Phong cách thiết kế: Sử dụng phong cách tối giản nhưng tinh tế để tạo sự chuyên nghiệp và dễ nhận diện. Phong cách này cũng giúp logo dễ dàng được in trên các sản phẩm và bao bì khác nhau.
Thông điệp: Đảm bảo logo truyền tải được thông điệp về sự kết hợp g",1,2
3017,Thiết kế video giới thiệu sản phẩm,"Cần thiết kế GIF ngắn giới thiệu sản phẩm số (website, mobileapp)
Ví dụ: https://dribbble.com/shots/24455042-Vet-App-Mobile-Design",1,2
3018,Edit video ngắn tầm 1 phút -2 phút,"Bạn có thể cung cấp dịch vụ này? Thêm vào hồ sơ làm việc.
Công ty Bất Động Sản Hà Đô Phát cần tuyển 02 cộng tác viên media
- Lĩnh vực : bất động sản
-Số lượng : 02
-Lương theo sản phẩm
- Nội dung yêu cầu : edit video ngắn tầm 1 phút - 2 phút
- Yêu cầu : đảm bảo đúng tiến độ , làm việc chuyên nghiệp , trung thực, linh hoạt , nhanh nhẹn, sáng tạo,…",1,2
3019,Chụp ảnh sản phẩm,"Mô tả dự án:
Sản phẩm: Bộ sản phẩm nến thơm mùa đông, gồm 11 sản phẩm và 7 combo.
Phong cách chụp ảnh: Ấm áp, tinh tế, tối giản. Freelancer cần thể hiện rõ nét thiết kế và chất liệu của sản phẩm qua các góc chụp, tạo cảm giác ấm cúng phù hợp với mùa đông.
Số lượng ảnh:
Mỗi sản phẩm và combo sẽ chụp khoảng 5 tấm ảnh.
Tổng số ảnh dự kiến: 90 tấm.
Yêu cầu về người mẫu: Không cần người mẫu, chỉ tập trung chụp sản phẩm.
Yêu cầu cụ thể cho freelancer:
Chuẩn bị bối cảnh và phông nền:
Freelancer tự chuẩn bị bối cảnh chụp, có thể sử dụng phông nền đơn sắc, vật dụng trang trí tối giản nhằm làm nổi bật sản phẩm.
Sử dụng ánh sáng tự nhiên hoặc ánh sáng dịu nhẹ, tránh đổ bóng mạnh để tạo cảm giác ấm á",1,1
3020,"Chụp ảnh, quay clip resort ở Mũi Né","Mình bên agency, cần tìm người quay chụp chuyên nghiệp cho khách hàng là resort 5 sao ở Mũi Né. Bạn nào làm được thì nhắn mình nhé.",1,2
3021,Mình cần quay chụp không gian nội thất nhà ở,"Mình cần tìm bạn quay chụp không gian nội thất nhà ở
- Chụp ảnh và xử lý ảnh
- Quay dựng video dưới 10p",1,2
3022,Chụp ảnh sản phẩm tiệm trà,Cần tìm 1 team 2 - 3 người chụp ảnh khoảng 40 sản phẩm cho tiệm trà.,1,1
3023,Cần CTV viết bài SEO cho website mới tạo,"Bên mình cần tuyển ctv content viết nội dung chuẩn seo cho website và tối ưu onpage cho website. Công việc bao gồm :
- Tối ưu Onpage
- Viết bài chi tiết sản phẩm điều hòa : Daikin, panasonic, Funiki, Casper, LG
- Viết bài SEO từ khóa theo kế hoạch
Yêu cầu :
- Bài viết chuẩn SEO, internal link, tối ưu onpage, tối ưu các thẻ
- Tự lên kế hoạch viết bài
- Báo cáo qua gg sheet",2,1
3024,Tìm content freelancer mảng F&B,"Viết bài quảng cáo facebook mảng F&B
Triển khai dựa trên idea và hình ảnh có sẵn",1,2
3025,"Nhập liệu, cập nhật sản phẩm cho fanpage facebook - Hợp tác thời vụ lâu dài","Cập nhật sản phẩm fanpage.
- Đăng hình sản phẩm lên facebook để lấy link.
- Nhập thông tin sản phẩm vào spreadsheet trên Drive. Có hơn 1000 sản phẩm thuộc các danh mục khác nhau.
- Tuỳ chỉnh nội dung sản phẩm.
Mình mong sẽ hợp tác lâu dài vì sau cái fanpage facebook mình sẽ có nhiều thay đổi về sau. Dự định sẽ làm 1 website bán hàng tren Haravan.
Hiện giờ facebook page, website đã đi vào hoạt động và cập nhật của bạn sẽ lên ngay lập tức :)). Vai trò của bạn rất quan trọng với doanh nghiệp của mình.
Bên mình sẽ trả theo công việc hoàn thành chứ không nhất thiết theo thời gian nên bạn có thể đề xuất hay nghĩ ra cách làm thuận tiện nhất và đưa ra đề xuất để cái tiến facebook page, website. Nếu làm tốt c&ocirc",2,1
3026,Nhập liệu hóa đơn/chứng từ ,"Mô tả chi tiết:
- Chụp hình, nhập hóa đơn vào hệ thống. (tài liệu tiếng anh)
- Làm trong 1-2 ngày
- Nhận tài liệu và làm tại nhà
Vị trí: Nhận tài liệu tại Quận 3 thành phố Hồ Chí Minh.
Mức lương: 40k-50k/h",2,1
3027,Cắt path-chỉnh màu sản phẩm,"Sử dụng thành thạo pentool trong clipping path
Chỉnh màu,đổi màu và làm đều màu các hình",1,2
3028,"Thiết kế Sweater, Hoodie, Jacket, Shoes 3D","Team cần tuyển gấp 02 bạn có kinh nghiệm tối thiểu 1 năm Thiết kế Sweater, Hoodie, Jacket, Shoes 3D...",1,2
3029,Content Creator cho sản phẩm Chatbot AI,"1. Mô Tả Công Việc
Chúng tôi đang tìm kiếm một Content Creator sáng tạo và chuyên nghiệp có kinh nghiệm trong sản xuất video quảng cáo để hỗ trợ tạo ra các video hấp dẫn, giúp quảng bá phần mềm quản lý tin nhắn đa kênh. Ứng viên sẽ làm việc cùng đội ngũ marketing để xây dựng các video truyền tải rõ ràng lợi ích và tính năng của phần mềm cho đối tượng khách hàng chính là doanh nghiệp vừa và nhỏ (SME) và các chủ doanh nghiệp trong các ngành như FnB, Spa, Giáo dục, và Du lịch.
2. Trách Nhiệm Công Việc
Phát triển ý tưởng sáng tạo, lên kịch bản cho các video quảng cáo.
Sản xuất các video chất lượng cao (2-5 phút) để giới thiệu tính năng nổi bật như phân t&iac",2,1
3030,"Đưa ra kế hoạch, chiến lược cho công việc Starup bán áo thun local brand","- Đưa ra kế hoạch tổng quát, chiến lược cho công việc
Có thể chọn làm thêm hỗ trợ hoặc quản lý các đầu việc sau (sẽ được trả thêm theo thương lượng):
- Hỗ trợ xây dựng thương hiệu và Marketing
- Tìm kiếm xưởng sản xuất: Tìm một xưởng sản xuất uy tín, có chất lượng sản phẩm tốt và giá cả hợp lý.
- Quản lý chất lượng: Kiểm soát chặt chẽ chất lượng sản phẩm trước khi đưa ra thị trường.",2,1
3031,Viết plugin wordpress,"Tôi cần viết mốt plugin cho phép kết nối đồng bộ giữa trang web của tôi và một bên thứ 3, đã có docs api sẵn",1,2
3032,Cần php senior maintain upgrade UI web theo figma,"link dự án
https://drive.google.com/drive/folders/11Dc6UmgBNpNJbGQpFNCaHa9HmxvdAW0Z?usp=sharing",1,2
3033,Mình cần hỗ trợ tối ưu và chạy Quảng cáo Shopee,"Mình cần hỗ trợ tối ưu và chạy Quảng cáo Shopee
Vui lòng gửi thông tin chi tiết qua nhé.
Xin cảm ơn.",1,1
3034,Mình cần tìm 1 bạn có kinh nghiệm về phát triển nội dung kênh social,"Mình cần tìm 1 bạn có kinh nghiệm về phát triển nội dung kênh social. Mình cần lên kế hoạch biên tập nội dung về tin tức thể thao bóng đá , phối hợp với editter để đăng nền nền tảng tiktok fb reel",2,2
3035,Thiết kế website giáo dục,"1. Đánh giá hiện trạn website hiện có.
2. Thiết kế lại website dựa trên website sẵn có trên nền tảng Workpress.
3. Quản lý website (nếu được).",1,2
3036,Làm video tiktok từ 45 -50s theo nội dung đã cho,Bạn sẽ nhận được một nội dung chủ đề và dựng một video tiktok phù hợp với chủ đề đó. Sau mỗi video bạn sẽ nhận được tiền luôn nếu video đạt yêu cầu. Chúng tôi cần tìm 1-2 bạn để hợp tác lâu dài. Vui lòng gửi cho tôi một vài thiết kế mà bạn tâm đắc. Chúng tôi sẽ check xem nó có phù hợp với định hướng chúng tôi trước khi đưa ra quyết định,2,1
3037,"Làm video tiktok, youtube quảng cáo sản phẩm","Công ty Bất Động Sản Hà Đô Phát cần tuyển 02 cộng tác viên media
- Lĩnh vực : bất động sản
-Số lượng : 02
-Lương thoả thuận
- Nội dung yêu cầu : yêu cầu quay , edit , đề xuất content ( nếu có khả năng ), tư vấn hướng social media cho doanh nghiệp",2,1
3038,TVC Quảng Cáo Nhẫn Cưới/ Cầu Hôn,Cần 1 kịch bản TVC dạng phim ngắn 1 phút quảng cáo về sản phẩm trang sức nhẫn cưới/ nhẫn cầu hôn,1,2
3039,Trợ lý từ xa,"Tìm trợ lý từ xa, các công việc chủ yếu liên quan đến tổng hợp, thu thập, tóm tắt thông tin, viết báo cáo về các chủ đề môi trường, nông nghiệp, biến đổi khí hậu, phát triển bền vững, ...",2,1
3040,Quản lý blog,"Tìm tài liệu pháp luật, tin tức liên quan cho blog",2,1
3041,Chụp ảnh sự kiện tại Hà Nội,"Bên mình cần tuyển 1 bạn chụp hình sự kiện trao bằng ngày 01/07/2024 từ 13:30-15:30 tại Hoàn Kiếm, Hà Nội.",1,2
3042,Tìm freelancer chụp ảnh Hội thảo PVN tại TP.Hồ Chí Minh ,chụp sự kiện cho 130 người từ 13h00 đến 17h00 và làm 1 cjip ngắn 5 -10p - chụp gala 18h30 đến 20h,1,2
3043,Viết phần mềm đăng ký mua vàng online,"Tôi muốn viết phần mềm đăng ký mua vàng online (sử dụng phương thức http request). Trong đó, có các chức năng như: đăng ký nhiều tài cùng lúc, có chức năng hẹn giờ thực hiện, có thể lặp lại hoạt động đăng ký sau khoảng thời gian nào đó",1,2
3044,Tuyển lập trình VueJS + Strapi,"Cần tuyền 1 bạn Frontend Dev mid-level, làm việc freelance + remote, tham gia team startup bên mình.",2,1
3045,Tìm bạn nào giỏi về vi phạm chính sách Facebook + phần mềm Facebook giúp mình quản lý group fanpage bằng phần mềm ,# Tuyển Dụng: Chuyên Viên Quảng Cáo Facebook,2,1
3046,"Cần tìm Freelancer thiết kế website, gian hàng trên sàn TMĐT cho lĩnh vực bánh nhập từ Trung Quốc","Chào các bạn Freelancer,
Mình bán bánh ngọt nhập khẩu trung quốc với nước ép trái cây đóng chai nên cần tìm freelancer thiết kế website với xây dựng cửa hàng trên shoppee với tiktok.
Công việc cụ thể như sau: Trang chủ, gian hàng, mua hàng, thanh toán … trên website và sàn thương mại điện tử.
Câc bạn inbox để trao đổi chi tiết hơn ạ",1,2
3047,Tạo video quảng cáo và đăng lên các nền tảng mạng xã hội Thị trường Mỹ ,"Chúng tôi đang tìm kiếm một TikToker, Facebooker, Youtuber tại thị trường Mỹ để tạo và đăng tải video quảng cáo trải nghiệm ứng dụng DrawingEZ. Mục tiêu là thu hút người dùng mới tải ứng dụng. Nếu bạn có tài khoản TikToker, Facebooker, Youtuber với lượng người theo dõi lớn và kỹ năng sáng tạo nội dung, hãy hợp tác với chúng tôi để giới thiệu ứng dụng vẽ độc đáo này!",2,2
3048,Làm 01 video giới thiệu công ty ngắn + 01 video giới thiệu dịch vụ,"Cần đối tác xây dựng 2 video:
- 01 video giới thiệu nhanh công ty (30s)
+ Dựa trên mong muốn và các nội dung doanh nghiệp muốn triển khai để lên idea
+ Quay chụp thêm nguyên liệu cho video
+ Dựng và trả video hoàn chỉnh độ phân giải 2K trở lên
- 01 video giới thiệu dịch vụ (60s)
+ Cần trao đổi off để hiểu rõ chức năng của sản phẩm (phần mềm quản lý kho hàng)
+ Dựng animation để khách hàng hiểu được chức năng sản phẩm
+ Độ phân giải 2K trở lên",1,1
3049,Xử lý khôi phục tài khoản bán hàng thương mại điện tử,Liên hệ đội ngũ chăm sóc khách hàng để xử lý khôi phục tài khoản bản hàng online,1,1
3050,Dịch hợp đồng kinh tế từ tiếng Việt ra tiếng Anh,Cần tuyển một bạn có kinh nghiệm dịch thuật để dịch hợp đồng kinh tế từ tiếng Việt ra tiếng Anh.,2,1
3051,Chụp ảnh món ăn nhà hàng ,"Chụp hình 35 món ăn, mỗi món 2 góc khác nhau
Chụp cận cảnh, yêu cầu sắc nét, màu làm món ăn hấp dẫn để làm menu",1,2
3052,LÀM VIỆC CHO WEBSITE LIKE SUB CÁC DỊCH VỤ MẠNG,Liên hệ để biết nội dung,2,1
3053,Unity Developer Needed for Game Fixes,"I own a game currently running on Unity version 2017, and I need a Unity game developer to help me with the following tasks:
- Upgrade the project to Unity version 2020
- Fix issues with Ads not displaying
- Fix issues with Facebook login permissions not being granted
- Fix compatibility issues with external packages integrated into the project",2,1
3054,Code bot Telegram ,"Tôi muốn 1 con bot telegram thông báo cho tôi giao dịch mới từ 1 địa chỉ ví trên solscan.io
Ví dụ : Ví A chuyển 10 sol tới ví B, ngay lập tức bot telegram thông báo cho tôi địa chỉ ví B đó và cho phép tôi click vào địa chỉ ví để copy luôn
Và tôi muốn tự sửa được ví A và số tiền chuyển",1,2
3055,"Xây dựng kênh thương hiệu: Facebook fanpage, Insta, Pinterest","- lên kế hoạch xây dựng các kênh: fanpage, instagram, pinterest với đối tượng người xem là khách nước ngoài (cụ thể UK)
- thực hiện kế hoạch đề ra
- báo cáo về các thông số kết quả khi xây dựng kênh",2,1
3056,Nhân Viên Content Facebook thú cưng,Cần 1 bạn viết content đăng Facebook. Số lượng khoảng 15 bài viết/tháng có chỉnh ảnh. Spam các group trên group liên quan đến thú cưng,2,1
3057,Quảng cáo google cho lớp học làm bánh,The flour cần tuyển 1 bạn có kinh nghiệm gg ads hỗ trợ quảng cáo lớp học làm bánh,1,2
3058,Chạy VPS quốc tế tăng giờ xem youtube,"Hiện tại bên mình đang có dự án quốc tế mảng Youtube , cần chạy 8000 giờ xem trong 10 ngày.",2,1
3059,Thiết kế theo văn bản có sẵn,Mình sẽ đưa mẫu cho các bạn chỉ cần làm như mẫu là được,2,1
3060,Nhân Viên Content Marketing Remote – Admin bóng đá,"• Xây dựng, quản lý nội dung trên Fanpage, Telegram, Tiktok, Youtube của công ty (bao gồm chữ và hình ảnh) theo định hướng có sẵn
• Tham gia cùng team xây dựng và quản lý các chiến dịch Marketing, đóng góp các ý tưởng nội dung sáng tạo cho chiến dịch Digital Marketing.
• Ưu tiên ứng viên đã có kinh nghiệm làm admin các page bóng đá lớn",2,1
4041,Dự án demo 3,Lập trình web,1,1
4042,App android & ios kiểm kê kho hàng ,"- Chức năng tối thiểu:
+ Kiểm soát số lượng hàng nhập/xuất
+ Báo cáo theo ngày, tuần, tháng, quý, năm
+ Quản lý chi nhánh, nhân viên
+ Chat nội bộ nhóm, cá nhân
+ Giao việc cho nhân viên",2,1
4043,Cần viết app lại đã có mã nguồn mở,Cần viết app ios và android lại đã có mã nguồn mở. Mọi chi tiết liên hệ. Cảm ơn các bạn đã xem tin.,2,1
4044,"Tạo nội dung, chạy quảng cáo facebook","Đọc và hiểu các gói dịch vụ của công ty để phục vụ cho việc tạo content, chạy campaign facebook ads, google ads.",2,1
4045,FREELANCER FACEBOOK ADS,"- Thiết lập, triển khai và quản lý các chiến dịch Quảng cáo trên Facebook để thúc đẩy nhận diện thương hiệu, mức độ tương tác và chuyển đổi.
- Theo dõi và phân tích hiệu suất chiến dịch, cung cấp báo cáo chi tiết và thông tin chuyên sâu để tối ưu hóa và cải thiện kết quả.
- Phân bổ và quản lý ngân sách quảng cáo hiệu quả để đảm bảo ROI tốt nhất cho mỗi chiến dịch.
- Làm việc chặt chẽ với nhóm sáng tạo để phát triển các quảng cáo hấp dẫn và nội dung thu hút được đối tượng mục tiêu
- Sử dụng các công cụ và nền tảng phân tích để theo dõi số liệu hiệu suất và đưa ra quyết định dựa trên dữ liệu
- Luôn nắm bắt các xu hướng mới nhất, các phương pháp hay nhất va",1,2
4046,Copy mẫu Poster thành file,"Copy 1 mẫu poster từ file JPG sang PTS hoặc AI file.
Hình có sẵn, chỉ cần design sao cho giống y hệt là được",1,2
4047,POD DESIGNER,"- Thiết kế dạng new design, re-design (ko clone) các sản phẩm POD như: canvas, blanket, tumbler, ornament, stone, flag, ceramic,... theo ý tưởng có sẵn.
- Sửa mẫu theo yêu cầu của Idea để tạo thành sản phẩm hoàn chỉnh.
- Làm việc thông qua phần mềm Larksuit.",2,1
4048,"Freelancer quay phim, dựng phim cho video 3ph","Mình cần quay phim phóng sự công ty và dựng, chất lượng 4K, thời lượng 3ph bao gồm sources clip đã mua sẵn. Scope:
1. Quay phim theo kịch bản có sẵn. Có thể trao đổi kịch bản qua tin nhắn với mình. Quay tại Q. Bình Thạnh, quay khoảng 3 tiếng
2. Dựng phim, làm animation, transition theo đúng kịch bản
3. Biết team lồng tiếng, kết hợp lồng tiếng và làm sub
4. Có kinh nghiệm làm video cho công ty. Thông minh tháo vát, flexible. Dùng after effect, premier, có thể thiết kế những element bổ sung cho clip mình dựng",1,2
4049,Dựng Video Bằng Capcut,"- Nhận kịch bản, dựng clip theo order (clip dưới 1 phút).
- Dựng từ 50 - 100 video/tháng (tùy tháng).",1,2
4050,Content marketing,"content trên đa nền tảng:
+ Blog cho Website
+ Bài post fanpage
+ Kịch bản video ngắn
+ Thư ngỏ dạng như 1 bài bán hàng xuất sắc",1,2
4051,Content writer cho cộng đồng người chơi POKER,"- Làm việc với team Planning để đưa ra ý tưởng và triển khai ý tưởng cho các chiến dịch dựa trên kế hoạch của khách hàng (Insights, key message, tagline, content pillar, article outline, demo post, community topic…);
- Chịu trách nhiệm lập kế hoạch nội dung trên đa kênh để xây dựng đề xuất phù hợp với yêu cầu của khách hàng.
60% EXECUTION:
- Phụ trách thực hiện toàn bộ nội dung cho các dự án bao gồm branding, promotion... Sáng tạo và sản xuất nội dung mạng xã hội cho tất cả các kênh như: Facebook, Tiktok, Landing Page
- Làm việc với team để điều chỉnh nội dung và cấu trúc bài viết theo feedback của khách hàng.
- Làm việc tốt với team Thiết Kế đảm bảo hình ảnh sáng tạo phù hợp với nội dung.
- Phân tích a",2,1
4052,Chụp Ảnh Áo Dài Tại Hoàng Thành,"Hà Nội
- cần tìm từ 1
- 2 nháy chụp ảnh áo dài nhân dịp 8/3 tại Hoàng Thành, có chỉnh sửa ảnh sau khi chụp. Bạn nào nhận được thì liên hệ nhé ạ.",1,2
4053,Quay phim,"Tìm 01 người quay phim có sẵn thiết bị (camera, gimbal, chân máy)
- Thời gian: 1 ngày (trong tháng 1, sắp xếp theo lịch của freelancer)
- Địa điểm: Tây Ninh (có xe đưa đón tại Phú Nhuận - HCM)
- Nội dung: quay nhà xưởng trong khu công nghiệp",1,2
4054,Tìm một bài viết bài SEO tầm 1000 - 1500 từ - tháng khoảng 50 bài ,"- Mình cần tìm một bài viết bài SEO và cung cấp cho mình giá tốt nhé
- Trung bình một tháng khoảng 50 bài SEO (Keyword plan bên mình sẽ gửi, mình chỉ viết onpage từ 1000-1500 từ, ảnh tải trên mạng hoặc có khách bên mình cung cấp source thì các ban chỉ cần lấy ảnh đó gắn logo vào và tải lên bài thôi).
- Với số lượng tối thiểu 50 bài/tháng nên mình cần bạn cung cấp giá tốt",2,1
4055,Viết kịch bản video thể hiện sứ mệnh của công ty,"Bên mình đang cần viết kịch bản thể hiện sứ mệnh của công ty nhân kỉ niệm 10 năm, truyền cảm hứng, lan tỏa tới khách hàng.
Thì bên mình muốn thuê kịch bản trước, bạn báo giá giúp mình nhé, vid dưới 2 phút.",1,2
4056,Thiết kế video nền cho sản phẩm xổ số truyền thống & hiện đại,"Thiết kế theo phong cách người dùng trực quan, trải nghiệm theo thời gian thực, sáng/trưa/tối.
Hướng hiện đại, tinh tế, chuyên nghiệp, theo mô tả riêng cho ngành xổ số & chung cho ngành tài chính
Hướng người chơi /mua vé số theo dạng tài lộc, cầu may, số đỏ.
Video dạng nền chìm, mờ, lồng trên web, style , color theo định nghĩa mô tả.
Dự kiến có 01 video chính cho nền site chủ, 2-3 video phụ cho các nền site con.
Thời gian không gấp
Chi phí vừa phải (gia công lại cho 3rd)",1,2
4057,"Cần làm video về phong thủy, quay phim người thật review sản phẩm","video tựa như thế này
https://drive.google.com/file/d/1pQMrkHumXMjtBwMAgJ84VjhZtWyMAxru/view
Có 1 người giới thiệu và review như video",1,2
4058,Làm video amination động vật ( con bò ) trên Lottiefiles,"Cần làm video amination động vật ( con bò ) trên Lottiefiles
Video Mô tả các chuyển động của bò khi được cho ăn, uống, tắm
Xuất video ra định dạng json tương thích Lottiefiles",1,2
4059,"Thiết kế logo, nhận diện thương hiệu cho 1 doanh nghiệp software development ","Thiết kế logo, bộ nhận diện thương hiệu cho 1 doanh nghiệp software development. Nếu có thể thì cả website",1,2
4060,Chạy Quảng cáo Facebook cho tour trải nghiệm,"1. Nghiên cứu hiện tại fanpage và các sản phẩm định hướng chạy quảng cáo.2
2. Lập phương án chạy quảng cáo phù hợp và đúng đối tượng khách hàng yêu cầu.
3. Đề xuất cài đặt mẫu chạy các các gói sản phẩm và định hướng dịch vụ khác nhau.",1,2
4061,Tuyển người hỗ trợ set up email marketting - lĩnh vực du lịch Việt Nam,"Mình cần tìm 1 bạn biết về design, UX,UI và Mailchimp để thiết kế các email campaign cho mảng B2B.
Công việc:
- Thiết kế template cho các email trong chiến dịch
- Design hình ảnh trang trí cho email
Thời gian làm việc linh hoạt
Mức lương: thỏa thuận.",2,1
4062,"Làm video dự thi ""An toàn giao thông""","Cần làm 1 đoạn video ngắn tối đa 5 phút về chủ đề an toàn giao thông.
Cần ý tưởng mới lạ, video hoàn chỉnh, sau đó sẽ có học sinh lồng tiếng.",1,2
4063,Vd ngắn giới thiệu về núi tượng homestay,"làm vd khoảng 4 5p giới thiệu về núi tượng homestay, đã có vd quay sẵn chỉ cần dựng và chỉnh sửa và ghép void vào",1,2
4064,Tiktok filter,"Tôi cần xây dựng 1 ứng dụng quay video như tiktok, chỉ phần quay video",1,2
4065,Cần tìm người làm App kiểu Chùa Online,"Bạn có thể cung cấp dịch vụ này? Thêm vào hồ sơ làm việc.
Xin chào mọi người.
Mình đang cần tìm người Viết cho mình ứng dụng Chùa Online và nó cần chạy trên cả hai nền tảng Android và IOS.
Mình có thể tham khảo cách làm của ứng dụng sau:
https://play.google.com/store/apps/details?id=com.mandir
Ý tưởng là nơi dành cho Phật tử kiểu daily praying app trao đổi kinh nghiệm học phật cúng dường etc.
Chi tiết bàn sau.",1,2
4066,Tuyển Team sản xuất video cho kênh TikTok của nhãn hàng thời trang đường phố Việt,"Nhãn hàng thời trang chuyên bán hàng tại Shopee, TikTok, có văn phòng tại TPHCM. Chúng tôi cần team sản xuất nội dung dạng video ngắn cho kênh TikTok nhãn hàng mục tiêu để khách hàng hiểu về sản phẩm và tăng khả năng tương tác mua hàng của khách hàng.
Xây dựng kế hoạch nội dung:
_ Lập kế hoạch chi tiết cho nội dung trên kênh TikTok của nhãn hàng.
_ Xác định các chủ đề, xu hướng, và thông điệp cần truyền tải qua video.
_ Đề xuất lịch phát sóng, thời gian tối ưu để tương tác với khán giả.
Sản xuất nội dung:
_ Tạo video ngắn trên nền nhạc, sử dụng hiệu ứng và tính năng của TikTok.
_ Sử dụng trang phục thời trang đường phố của nhãn hàng để tạo nên những video hấp dẫn.
_ Chú trọng đ",2,1
