ID,Tên công việc,Mô tả,Loại công việc,Loại lương
4067,Tạo nhân vật hoạt hình cho công ty dọn dẹp vệ sinh,"Giới thiệu chung
Công ty: Dust Killer , dọn dẹp nhà cửa, dọn dẹp văn phòng, chung cư
về nhân vật: nhân vật dễ thương, lấy ý tưởng con bò. màu chủ đạo là màu vàng
video theo dạng này: https://www.youtube.com/@MoominOfficial
Khai thác khách hàng qua câu truyện hoạt hình
Mô tả công việc:
Tạo nhân vật hoạt hình cho công ty dọn dẹp vệ sinh
Sử dụng công nghệ AI để viết kịch bản sáng tạo cho video TikTok.
Sản xuất và chỉnh sửa 30 videos TikTok
Xây dựng câu chuyện giả tưởng hoàn toàn. Ví dụ: Bối cảnh là 1 thành phố yên bình nhưng bỗng 1 ngày bị người ngoài hành tinh tấn công (quân đội vi khuẩn). Dust Killer từ 1 cậu bé bình thường (nhân vật con bò) đã đi",1,2
4068,Thuyết Minh Truyện Tranh ,"Thuyết minh Manga
Trình bày manga và gắn thuyết minh cho từng hình,
Đóng gói và gửi lại cho bên mình theo yêu cầu",2,1
4069,Dịch và chỉnh sửa nội dung canva anh-việt,Dịch nội dung flie canva từ tiếng anh - việt .,2,1
4070,Viết đề tài sáng kiến kinh nghiệm lớp 4 đối tượng học sinh khuyết tật trí tuệ,"Viết ý tưởng mới, biện pháp mới trong giảng dạy học sinh lớp 4 nhưng đối tượng học sinh khuyết tật, cụ thể là học sinh chậm phát triển trí tuệ, tự kỷ, down,….",1,2
4071,"Cộng tác viên Photophone quay chụp view phòng studio, quán caffee","Mình cần tìm một bạn freelance photophone có thể chụp hình view phòng/ thời trang cho studio
1. ưu tiên có biết set-up góc chụp, kinh nghiệm chụp view phòng studio, quán caffee, flatlay sp, mẫu thời trang
2. Thời gian linh động không bó buộc mỗi ca chụp chỉ 1-2 tiếng
3. mức lương thỏa thuận theo năng lực
4. Địa điểm stu tại Yên xá- Thanh trì (gần hồ văn quán)
5. Yêu cầu có máy iphone từ 13pr trở lên (hoặc máy cơ)",2,1
4072,"Mình cần freelancer đã có kinh nghiệm phát triển kênh Threads cho brand, nội dung chào giá dự án gồm:  - Thông tin kênh đã/ đang triển khai và kết quả  - Ưu tiên có kinh nghiệm research báo cáo nghiên cứu tệp khách hàng Threads và dạng nội dung hiệu quả có khả năng viral, yếu tố nào khiến nó tiếp cận đối tượng khách hàng tiềm năng hiệu quả,...","phát triển kênh Threads cho brand, nội dung chào giá dự án gồm:
- Thông tin kênh đã/ đang triển khai và kết quả
- Ưu tiên có kinh nghiệm research báo cáo nghiên cứu tệp khách hàng Threads và dạng nội dung hiệu quả có khả năng viral, yếu tố nào khiến nó tiếp cận đối tượng khách hàng tiềm năng hiệu quả,...",2,1
4073,Tìm người Viết kịch bản cho kênh YouTube,"Tìm người Viết kịch bản cho kênh YouTube
Tôi đang tìm kiếm 1 bạn viết kịch bản cho kênh YouTube đáp ứng các tiêu chí sau :
- Ngôn ngữ: Tiếng Anh
- 1500 từ cho mỗi kịch bản
- Giá 250.000đ cho mỗi kịch bản
- 7 kịch bản mỗi tuần
- Viết theo ý tưởng bạn nhận được
- Không bị trùng lặp nội dung
- Chủ đề: sức khỏe
Xin cám ơn",2,1
4074,Viết bài chuẩn SEO cho website,"Cần 1 bạn có kinh nghiệm cơ bản viết bài chuẩn SEO cho website. Có thể dùng AI hỗ trợ, tuy nhiên phải đảm bảo tiêu chí SEO, và đúng search intent. Cái này mình có thể training thêm cho bạn.
Viết theo kế hoạch keywords mình đưa ra.
Viết khoảng 30-50 bài/tháng. Làm tốt thì hợp tác lâu dài.",2,1
4075,Làm clip ngắn review sản phẩm ,"Mỗi sản phẩm cần 1 clip revie giới thiệu về sản phẩm, dùng để đăng lên tiktok, youtube và chạy quảng cáo",1,2
4076,Tìm bạn nữ quay video giới thiệu sản phẩm,"Mình tìm bạn Nữ quay video giới thiệu tính năng sản phẩm, không cần nói chỉ cần ngồi thao tác tay sản phẩm ( đồ gia dụng, điện tử).",1,2
4077,Mình cần làm các video ngắn giới thiệu sản phẩm không ,"Mình cần làm các video ngắn giới thiệu sản phẩm Tạo website hoặc tuyển dụng không cần lộ mặt review tính năng đăng kênh tiktok, toutube bạn nào làm được tính theo số lượng liên hệ mình",1,2
4078,"Tuyển Freelancer Thiết kế Giao diện Web, Brochure, Landing Page, Tài liệu Marketing (Dự án)","Tuyển Freelancer Thiết kế Giao diện Web, Brochure, Landing Page, Tài liệu Marketing (Dự án)
Mô tả công việc:
Thiết kế UI cho website và landing page.
Thiết kế brochure, tài liệu marketing và các ấn phẩm quảng cáo.",2,1
4079,"Làm clip ngắn cho fanpage của mình, trả income theo số lượng video","Mình cần 1 editor cho fanpage của mình, video ngắn khoảng 5p, được cắt từ những buổi live stream, edit tóm tắt, càng hài hước càng tốt.",1,2
4080,Phần mềm quản lý cơ sở dữ liệu hồ sơ nhân sự và quy trình nội bộ,"(hướng đến việc đồng bộ thông tin/cơ sở dữ liệu trên nền tảng web, lưu trữ lâu dài và trích xuất/tra cứu thuận lợi)
1. Quản lý cơ sở dữ liệu
- Tải dữ liệu lên website
- Nhập/xuất dữ liệu theo các trường thông tin (có thể tuỳ chỉnh)
- Tìm kiếm thông tin theo điều kiện của nhiều trường thông tin./Kết quả tìm kiếm có thể xuất theo các file dữ liệu gốc (tổng hợp nhiều kết quả hoặc riêng rẽ từng kết quả)
- Gửi các dữ liệu kết quả tìm kiếm thông qua email.
- ...(trao đổi trực tiếp)...
2. Quy trình nôi bộ
- Phân loại nhân sự theo từng nhóm đối tượng, từng nhóm đối tượng sẽ áp dựng quy trình theo dõi riêng
- Tìm kiếm được thông tin nhân sự theo trường thông tin, trích xuất được toàn bộ thông tin/dữ",2,1
4081,Mình cần 1 bạn làm phần mềm tool xoay proxy cho window,"- Có giao diện sẵn làm theo yêu cầu
- Import apikey vào và xoay ip, thiết lập tự động xoay, xóa, chỉnh sửa
- Quan trọng phải tại được con proxy local trên máy tính để khi xoay ip mới nó sẽ không bị thay đổi",1,2
4082,Node.js Developer,"Chúng tôi đang tìm kiếm một Node.js Developer trẻ, năng động để gia nhập đội ngũ phát triển của mình. Đây là cơ hội lý tưởng cho các bạn sinh viên mới ra trường, yêu thích lập trình và sẵn sàng đối mặt với những thử thách mới!
Mô tả công việc:
• Tham gia phát triển các ứng dụng web bằng Node.js.
• Tìm hiểu, áp dụng các công nghệ mới và cải tiến liên tục trong công việc.
• Hợp tác với các thành viên khác để hoàn thành dự án đúng tiến độ.",2,1
4083,Cần làm Tool Crawl emails từ các nền tảng mạng xã hội,"Crawl emails:
- Số lượng: 1 triệu email/ tháng trở lên
- Nền tảng: đa dạng
- Quốc gia: US
- Keywords: Nike, Adidas, Under Armour, Spanx, Athleta,...
- Có lọc email",1,2
4084,App mobile đọc dữ liệu chip CCCD,"App mobile đọc dữ liệu chip CCCD. Sau khi đọc được dữ liệu CCCD thì call API để gửi thông tin về server chỉ định.
App sử dụng được cả trên iOS và android",1,2
4085,Ứng dụng di động hỗ trợ xác thực sinh trắc học,"Mình cần tạo một ứng dụng android với các tính năng sau
1. Cho phép đóng gói dữ liệu sinh trắc khuôn mặt và lưu trên app
2. Khi ứng dụng bất kỳ yêu cầu thực hiện xác thực sinh trắc khuôn mặt thì thực hiện cung cấp gói dữ liệu đã đóng gói ở mục 1 để pass xác thực sinh trắc.",2,1
4086,Tìm freelancer biết React Native làm việc theo giờ,"Bên mình cần tuyển freelancer làm việc theo giờ. Biết React Native, bên mìnhgiao task bạn báo số giờ nếu OK thì làm luôn",2,1
4087,Xuất bản ứng dụng lên Google Play để tài khoản không bị đóng ,Tài khoản Google Play bên mình đang bị cảnh báo do lâu không update phần mềm. Nhờ bạn upload giúp 1 app bất kỳ nào đó lên Google Play bằng tài khoản mình để tài khoản duy trì hoạt động.,1,2
4088,Làm app ios và android bằng react native hoặc flutter,Cần làm app ios và android sử dụng React Native hoặc Flutter.,2,2
4089,Làm app ios và android bằng react native hoặc flutter,Cần làm app ios và android sử dụng React Native hoặc Flutter.,2,2
4090,Làm App tương tác chạy bộ tính điểm tích hợp tiền crypto blockchain ,Làm App tương tác chạy bộ kiếm điểm tích hợp tiền crypto blockchain,1,2
4091,Làm app tương tác chạy bộ,"kinh nghiệm về app mobil, tải app qua link xuất hiện trong điện thoại trước khi đăng ký trên app store hoặc CH play",1,2
4092,Lập trình giao diện mobile cho trang Web + Responsive,"1. Mình đang có một trang web về khách sạn: (museinvietnam.com)
- Hiện tại trang web đã hoàn thiện xong, và bên mình đang muốn code responsive cho tất cả các loại device, quan trọng nhất là mobile.
- Design Figma cho mobile sẽ được chuẩn bị sẵn, chỉ việc vào code và đảm bảo responsive cho mọi loại màn hình.
- Các công nghệ cần biết: Nextjs, Reactjs, Tailwind css, ant design",2,1
4093,Hỗ trợ chỉnh sửa website ,Mình đã có công cụ clone web. Muốn tìm bạn hỗ trợ chỉnh sửa một chút để thành web hoàn chỉnh,1,2
4094,Bảo trì trang web fansi.com.vn,"Bảo trì trang web fansi.com.vn , thay đổi nguồn dữ liệu đầu vào như hosting...., chỉnh sửa một số thông tin đăng lên theo yêu cầu.",1,2
4095,Thiết kế giao diện cho ebook,Tôi cần đặt hàng một template HTML giao diện cho ebook có thể tương thích với các thiết bị di động. Yêu cầu là không bị vỡ bảng khi hiển thị ở các màn hình có kích thước khác nhau,1,2
4096,Chức năng vẽ hình 2D và 3D trên web,Cần tìm developer code php và javascript làm chức năng vẽ hình 2D và 3D trên web tương tự như video demo,1,2
4097,Thiết kế trang web dữ liệu chứng khoán,Thiết kế trang web dữ liệu về chứng khoán như Fstock.vn ; Gstock.vn ; Simplize.vn ; finchat.io/dashboard ; ...,2,1
4098,Làm các website với ngôn ngữ nextjs,Làm các website với ngôn ngữ nextjs làm lâu dài làm online,2,1
4099,Thêm menu trong web wordpress ,"thêm trang menu , trang con trong web wordpress. web đã có sẵn rồi. mình chỉ cần thêm vài thứ . không cần nhiều",2,1
4100,Xây dựng website cho Lab nghiên cứu ,"Xin chào các bạn, website mình đã có tiền miền, hosting wordpress. Theme đã có sẵn, mình muốn chuyển theme đó thành website với các thông tin của bên mình.",1,2
4101,Cần tối ưu về mặt kỹ thuật cho website về vận tải liên tỉnh,"Hiện tôi đang có website, code thủ công không sử dụng wordpress, đang cần thuê dịch vụ tư vấn tối ưu về mặt cấu trúc cũng như các chỉ số liên quan.",2,1
4102,Tư vấn & triển khai SEO cho website mới về tuyển dụng,Mình cần tuyển người lập kế hoạch tư vấn để build traffic cho một website về tuyển dụng mới hoàn toàn. Hiện team mình không có ai chuyên môn về mảng này. Plan kế hoạch cho 3 - 6 tháng. Nếu được sẽ thương lượng tiếp để hợp tác viết bài và làm việc lâu dài,2,1
4103,Tuyển cộng tác viên SEO website Đông trùng hạ thảo Tây Tạng,"Đông trùng hạ thảo Thiên Sơn là một trong những đơn vị hàng đầu chuyên cung cấp các sản phẩm Đông trùng hạ thảo Tây Tạng tại Việt Nam. Với mong muốn mang sản phẩm chất lượng đến với nhiều người hơn, Thiên Sơn Store đang tuyển cộng tác viên SEO website Đông trùng hạ thảo Tây Tạng trên toàn quốc.
Mô tả công việc
Thực hiện các công việc SEO website Đông trùng hạ thảo Tây Tạng theo hướng dẫn của công ty
Nghiên cứu từ khóa, phân tích đối thủ cạnh tranh, lập kế hoạch SEO
Tối ưu hóa nội dung, backlink, cấu trúc website
Theo dõi và báo cáo kết quả SEO
Làm việc với các hiện đang ở khu vực HCM (ưu tiên thành phố thủ đức) để có thể lâu lâu tiện trao đổi công việc.",2,1
4104,Chuyển đổi file quản lý dữ liệu bán hàng/ kho bãi bằng formula trên GG Spreadsheet thành GG AppScript ,"Tôi đã tự thiết kế file quản lý tổng hợp kinh doanh/ quản lý kho hàng bằng cách link/ truy suất dữ liệu từ nhiều file/ sheet khác nhau trên GG Sheet (có sẵn file demo, đang vận hành chạy bằng công thức và truy suất dữ liệu)
Cần người chuyển đổi từ dạng công thức sang coding/ mở rộng file API thông qua GG AppScript nhằm tăng tốc độ xử lý/ truy xuất và phân quyền ngừoi dùng.",1,2
4105,Cần phần mềm đăng ký telegram xuất file tdata và session trên phone samsung s7,cần dev đã làm qua telegram trên phone và hiểu rõ cách xuất file ạc tdata và session,1,1
4106,"Cần liên kết, đồng bộ dữ liệu giữa phần mềm bán hàng và phần mềm quản lý khách hàng.","Mình cần liên kết, đồng bộ dữ liệu giữa phần mềm quản lý bán hàng và phần mềm quản lý khách hàng.",1,2
4107,Viết Code VBA - File Excel Productivity Tracker và Báo cáo Project Issue Tracker,"Mình đã có sẵn ý tưởng, nguồn tham khảo, mình cần viết lại, chi phí thương lượng.",1,2
4108,Crawl Data từ 2 Webs cố định,"Mình cần Crawl hết data từ 2 sites có sẵn.
Bạn có thể dùng bất kì ngôn ngữ nào bạn dev quen.
Mình cần xử lí gấp.
Bạn nào xử lí gấp được thì chào giá mình luôn nhé.
Inbox để mình gửi 2 sites chi tiết.",2,1
4109,Cần tìm đối tác làm Loyalty App cho lĩnh vực F&B,"Bên mình cần tìm đối tác build một Loyalty App (Android + IOS) cho khách hàng kèm 1 website (responsive) cho quản trị.
Lĩnh vực: F&B.
Các app tham khảo: Buzza Pizza, Quà tặng VIP, One Life.",2,1
4110,Sửa lỗi web bán hàng,"sửa lỗi web bán hàng , bổ sung thêm tính năng cho web theo yêu cầu",1,2
4111,Lập chiến lược Inbound Marketing - B2B xuất khẩu,"Chào cả nhà,
Mình là cty nhỏ đang phát triển, hiện làm 3 mảng (theo thứ tự ưu tiên xuất khẩu > cho thuê vp > bán lẻ; profile đính kèm) M đang tìm người hỗ trợ xây dựng phòng mkt inhouse
- Lên chiến lược marketing cho mảng xuất khẩu: công việc, ngân sách, thời điểm, chỉ tiêu đo lường, nhân sự - lập chỉ tiêu đánh giá hiệu quả cv, báo cáo, giám sát triển khai định kỳ.
- Định hướng làm inbound là chính, outbound hỗ trợ. Cần tư vấn sd công cụ automation.
- Ưu tiên các anh/chị đã làm qua ngành b2b xuất khẩu; cho m biết hiệu quả các dự án đã làm nhé.
Nếu phù hợp sẽ hợp tác lâu dài để định kỳ đánh giá việc thực thi kế hoạch, training nhân sự, l&agrave",1,2
4112,Tuyển Leader Marketing ,"Quản lý MKT team chạy các chiến dịch cho các nền tảng FB, Tiktok, Zalo OA & các sàn",2,1
4113,CONTENT MARKETING,"Mình cần 1 bạn làm Content Marketing ( Part - time) chuyên về branding & awareness ( Cho công ty công nghệ về luật pháp)
+ làm content fanpage, facebook group
+ nội dung ads ( facebook, youtube, linkedin..)
+ email marketing",1,2
4114,Giúp tư vấn và phối hợp lập kế hoạch triển khai marketing,"Em xin chào anh/chị
Em nay 17t và có mong ước được mở riêng cho mình 1 quán trà sữa nhỏ nhỏ
Hiện nay em cũng đã có được 1 cửa hàng bán mang đi nhưng vẫn chưa có chút kinh nghiệm nào để vận hành và quản lý cũng như vấn đề về marketing . Nay em lên đây để tìm 1 người thầy có kính nghiệm dạy em về maketing và cũng là một người bạn trợ giúp em thực hiện hoá mơ ước đó..
Rất mong được giúp đỡ...",2,1
4115,Cần Tuyển Digital Marketing lĩnh vực Giáo dục,"• Biết làm landing page
• Sử dụng thành thạo các công cụ marketing
• Biết thiết kế design / video / content marketing
• Biết sử dụng Chat GP và AI để tạo ra video
• Biết xây dựng kịch bản, ý tưởng marketing
• Am hiểu marketing các kênh : Facebook, Tiktok, Youtube
• Tư duy sáng tạo và khả năng viết nội dung quảng cáo, bắt trend,video tốt
Quyền lợi :
• Lương từ : 5.000.000vnđ - 10.000.000vnđ/tháng
• Làm việc online
• Đặc biệt: Có cơ hội Được hưởng lợi nhuận từ dự án",2,1
4116,Trọn gói: lên kế hoạch và hoạt động Marketing cho start-up ,"Báo giá yêu cầu:
1. Thiết kế full bộ: logo + bộ định dạng thương hiệu và merchandising.
2. Kế hoạch launching
3. Kế hoạch marketing 2 năm
4. Lộ trình Mkt offline và SEO.
5. Chụp ảnh, viết bài theo kế hoạch mkt.",1,2
4117,Tuyển thực tập sinh Marketing (Công ty có đào tạo),"CÔNG VIỆC:
Xây dựng, theo dõi, chăm sóc vận hành shop, cập nhật sản phẩm, SEO từ khoá, content trên sàn thương mại điện tử Shopee, Lazada, Tiktok... Thực hiện các công cụ Marketing miễn phí và có phí, tham gia các chương trình khuyến mãi, sale trên sàn, chạy quảng cáo để tìm kiếm khách hàng, phát triển shop. Theo dõi, cập nhật hiệu quả của chiến dịch quảng cáo. Xây dựng, group, page... bán hàng và chạy ads các nền tảng Facebook, Zalo, Instagram... Được hướng dẫn cụ thể để hoàn thành tốt công việc...
Ứng viên để lại thông tin sẽ được trao đổi chi tiết",2,1
4118,Xây dựng và chạy quảng cáo kênh Instagram bán hàng đồ công nghệ,"Bên mình cần xây dựng, quản lý và chạy quảng cáo cho kênh instagram
Mặt hàng bên mình là các sản phẩm công nghệ của Apple, samsung, dell .....",1,2
4119,TUYỂN FREELANCER LÊN KẾ HOẠCH VÀ THỰC HIỆN CHIẾN DỊCH MARKETING,"Mình đang tìm kiếm freelancer để lên kế hoạch và thực hiện chiến dịch marketing để quảng bá hình ảnh, sản phẩm, dịch vụ, thương hiệu, tầm nhìn & sứ mệnh của công ty
A) Nội dung công việc:
- Phân tích và đề xuất chiến lược marketing phù hợp với sản phẩm và thị trường.
- Lên kế hoạch chi tiết cho chiến dịch marketing bao gồm: Thời gian, ngân sách, các hoạt động cụ thể.
- Triển khai thực hiện chiến dịch marketing theo kế hoạch.
- Báo cáo và đánh giá hiệu quả chiến dịch.
- Ngân sách dự kiến: 25 triệu đồng
B) Thời gian cho một planning: 1-3 tháng
C) Thưởng thêm: Nếu vượt chỉ tiêu doanh số đề ra, sẽ có thưởng thêm tỷ lệ % doanh số vượt chỉ tiêu.",1,2
4120,Nhân viên Content Marketing Part-time,"Mô tả công việc
- Xây dựng, quản lý nội dung (bao gồm viết nội dung, trình bày nội dung, ý tưởng về hình ảnh) trên Fanpage, Website.
- Phối hợp để lên ý tưởng, kế hoạch nội dung, bài đăng chi tiết cho social media (Facebook, Instagram, Tiktok…)
- Chịu trách nhiệm sản xuất nội dung truyền thông (Digital/Offline,…) như idea video / hình ảnh,…
- Triển khai các hoạt động marketing khác theo sự phân công của quản lý
- Tự sắp xếp, lên kế hoạch làm việc và báo cáo tiến độ với quản lý",2,1
4121,Cần tìm 1 bạn digital marketing freelance cho phòng hồi phục cơ bắp,"Kajo Rehab - một team nhỏ, chuyên hỗ trợ phục hồi cơ bắp, xương khớp và thần kinh cho người chơi thể thao và vận động viên vừa mới được thành lập, tại Phan Xích Long Quận Phú Nhuận HCM.
Về Branding & Marketing: Bọn mình đã đầu tư 1 bộ Brand Guidelines khá ‘unique’, tự tin khác biệt hoàn toàn những đối thủ khác trong lĩnh vực này, đây là 1 sự hỗ trợ rất lớn cho bất kì bạn Marketing nào tham gia.
Về product: Những phương pháp bên mình áp dụng để xử lý chấn thương, kích thích phục hồi là cực kì mới ở Việt Nam, rất ít bên làm. Nếu có cơ hội làm việc cùng nhau và bạn ở HCM, mình có thể show nhiều insights hơn về khoa học đằng sau và điểm mạnh & yếu của đối thủ.
Hiện tại quy mô bên mình vẫn c&",1,2
4122,Phụ trách nội dung trên các nền tảng social,"Phụ trách quản lý content trên Facebook/Insta bao gồm các nội dung: Sales/Brand/Products/Trending (45-60 post/tháng).
Kịch bản Tiktok 15-20/tháng
Các post sẽ chủ yếu dùng hình ảnh team media cung cấp. Nội dung sẽ ngắn gọn (3-5 câu)",2,1
4123,"Tư vấn, lập kế hoạch & triển khai marketing online cho sản phẩm Tranh trang trí","Tư vấn, lập kế hoạch & triển khai marketing online cho sản phẩm Tranh trang trí.
Mình là chủ xưởng sản xuất tranh, sản phẩm đang được bán tốt trên các sàn thương mại điện tử.
Mình muốn hợp tác với một bạn có kinh nghiệm về làm marketing online để triển khai marketing trên các kênh khác như: mạng xã hội, website, email,...",1,2
4124,Xây dựng trang fanpage cho nhãn hàng Quần áo Đường phố đang hoạt động tại Shopee ,"Dự án Xây dựng trang fanpage cho nhãn hàng Quần áo Đường phố đang hoạt động tại Shopee.
---
Mục tiêu:
- Mở tệp khách hàng tại Facebook
- Tăng nhận diện và kết nối với khách hàng mục tiêu tại Facebook
- Dẫn khách từ Facebook về chốt tại Shopee
---
Dự án đang nói đến là 1 nhãn hàng thời trang đường phố unisex phân khúc giá 150-250k là nhãn Việt đang bán hàng tại Shopee đã hoạt động ổn định >12 tháng và có doanh số trung bình 1-2 tỉ/tháng.",1,2
4125,Xây dựng trang Instagram - Threads cho nhãn hàng Quần áo Đường phố đang hoạt động tại Shopee.,"Dự án Xây dựng trang Instagram - Threads cho nhãn hàng Quần áo Đường phố đang hoạt động tại Shopee.
---
Mục tiêu:
- Mở tệp khách hàng tại Instagram - Threads
- Tăng nhận diện và kết nối với khách hàng mục tiêu tại Instagram - Threads
- Dẫn khách từ Instagram - Threads về chốt tại Shopee
---
Dự án đang nói đến là 1 nhãn hàng thời trang đường phố unisex phân khúc giá 150-250k là nhãn Việt đang bán hàng tại Shopee đã hoạt động ổn định >12 tháng và có doanh số trung bình 1-2 tỉ/tháng.",1,2
4126,Digital Marketing Specialist ,sáng tạo nội dung,1,2
4127,TUYỂN DỤNG CONTENT MARKETING -LÀM ONLINE - FULLTIME,"-Chịu trách nhiệm hoạch định kế hoạch nội dung & sản xuất nội dung chất lượng cao
-Xây dựng hình ảnh phát triển các kênh bán hàng cho công ty, trọng tâm là Facebook và Tiktok
Vai trò nhiệm vụ:
- Lập kế hoạch trên Facebook và Tiktok
- Làm việc với Photographer & Designer để sản xuất content mảng Mẹ & bé
- Tìm kiếm và làm việc với KOCs
- Quản lý & báo cáo hiệu quả content",2,1
4128,Quảng cáo cho facebook cho quán cafe kèm quản lí đăng bài hằng ngày,"Thực hiện các quảng cáo để làm tăng follow và view cho bài viết, ngoài ra thực hiện quản lí page, 1-2 ngày ít nhất 1 bài viết liên quan, có tác dụng tăng tương tác. Trả lương theo kết quả thực tế. Thực tế ở đây là follow, tương tác, và lượng khách đến quán mỗi ngày. Nếu có thể làm lâu dài thì càng tốt. Trả lương theo kpi.",2,1
4129,Maketing tìm kiếm khách hàng,Tạo và quản lý trang fanpage. Lên ý tưởng viết nội dung tìm kiếm khách hàng có nhu cầu học tiêng anh. ( focus vào đối tượng tài xế) đăng bài lên hội nhóm lái xe tư vấn và chốt lịch.,2,1
4130,Mình cần 1 bạn Digital marketing phụ trách đa kênh cho công ty,"Chào các bạn,
Mình cần 1 bạn Remote fulltime phụ trách:
1. Làm video review sản phẩm, video liên quan đến các sản phẩm Up tiktok, reel và Youtube
2. Triển khai Quảng cáo FB ads, google ads và Email marketing.
Bạn nào làm được ib giúp nhé ạ.
Sản phẩm công ty là Quà Tặng Doanh Nghiệp.
Xin cảm ơn.",2,1
4131,Quản lý và phát triển Youtube,quản lý kênh youtube,2,1
4132,Cần tìm 1 bạn xây kênh tiktok về mảng FNB (nhà hàng),"Tuyển Freelancer Xây Dựng Kênh TikTok Về Booking Nhà Hàng GlobalX
Mô tả công việc:
Xây dựng và phát triển kênh TikTok chuyên về đặt chỗ nhà hàng cho hệ thống GlobalX. (lalaland, yoyo, phuc gia, chillhouse..)
Chủ động tìm kiếm và tạo dựng các video liên quan đến nhà hàng, ẩm thực và trải nghiệm ăn uống. (sẽ được cung cấp thêm nhiều media...
Chỉnh sửa video để đảm bảo phù hợp với quy định và tiêu chuẩn của TikTok.
Liên tục cập nhật và đăng tải các video mới, theo kịp các xu hướng nổi bật trên TikTok.
Quản lý và theo dõi kênh thường xuyên, đảm bảo kênh đạt được 200,000 lượt đăng ký.
Tương tác và trả lời comment của người theo dõi để duy trì sự kết nối và tăng cường tương tác.",1,2
4133,Marketing Coordinator (mạnh Design) ,Công ty Luật ở Quận Phú Nhuận cần 02 bạn Junior Marketing Full Time,2,1
4134,Tìm Planner làm Proposal cho chiến dịch,"- Cùng team brainstorm idea và kế hoạch cho dự án triển khai
- Research insight TA và thị trường mục tiêu của dự án
- Có khả năng lên các content pillar, angle, tatics và demo post
- Có kinh nghiệm làm proposal cho Agency và các dự án liên quan đến ngành Tài chính - Ngân hàng (nếu có)
- Gửi kèm portfolio hoặc các dự án đã làm (có thể ẩn tên thương hiệu) khi nhận dự án",1,1
4135,Tuyển freelancer Nghiên cứu thị trường,"Chào các bạn freelancer
Bên mình đang cần tìm 1 số bạn freelancer cho công tác nghiên cứu thị trường, nội dung công việc cụ thể như sau:
1. Hình thức tuyển dụng: Freelancer.
2. Thời gian làm việc: 2 tuần ~ 1 tháng.
3. Nội dung công việc
・Research quy mô thị trường SaaS
・Research quy mô thị trường và tiềm năng tăng trưởng trong lĩnh vực HR
・Research các dịch vụ cạnh tranh của HR system (điểm mạnh, cơ cấu menu, giá cả của từng công ty...)
・Research nhu cầu của khách hàng về HR theo ngành nghề
・Báo cáo tóm tắt kết quả Research",1,2
4136,Tuyển công tác cho cho chương trình marketing online ,"Tìm công tác viên để chạy chương trình marketing online, xây dựng kênh youtube, tiktok, fanpage...Sản phẩm: dịch vụ cố vấn phát triển nghề nghiệp.",2,1
4137,Quảng cáo Tiktok cho xưởng bán lẻ,Mình cần một bên có sẵn tài nguyên để chạy quảng cáo Tiktok cho xưởng may quần áo.,1,2
4138,CẦN TUYỂN ĐỐI TÁC CHẠY DIGITAL MARKETING,"Trường quốc tế cần tuyển 1 nhân sự chạy digital marketing. Căn bản là trên nền tảng FB. Ngoài ra có thể chạy thêm trên Google và các nền tảng khác.
Làm online, đánh giá năng lực dựa trên kết quả. Khối lượng tương đương với 1 công việc bán thời gian.",1,2
4139,"Tư vấn, lập kế hoạch & triển khai marketing online cho sản phẩm Tranh trang trí","Tư vấn, lập kế hoạch & triển khai marketing online cho sản phẩm Tranh trang trí.
Mình là chủ xưởng sản xuất tranh, sản phẩm đang được bán tốt trên các sàn thương mại điện tử.",1,2
4141,Dự án demo 5,Mô tả,1,2
4142,Dự án demo 6,Mô tả,1,2
4143,Dự án demo 7,mô tả,1,2
